kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Metazoa	Archaeobalanidae	0	0	0	0	0	0	0	-1.27348527063422	0	0	0	0	0	1.63067980939428	-0.357194538760063
Metazoa	Balanidae	0	0	-2.35749800636383	-0.971203645243937	-0.748060093929727	-1.25888571769572	-1.25888571769572	0	0.127408643424173	0.733544446994488	-0.0549129133697819	-0.278056464683992	0.350552194738382	3.23721337323801	2.47878390058765
Metazoa	Catophragmidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Chthamalidae	0	0	0	0	0	0	0	0	-1.24588987276112	0	0	0	0	0.700020276294191	0.545869596466932
Metazoa	Pyrgomatidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Caligidae	0	0	-0.499501080209497	0	-0.0940359721013326	-1.19264826076944	0	0	-0.499501080209497	1.89839419258887	1.57994046147034	0	0	0	-1.19264826076944
Metazoa	Thripidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Hydropsychidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Halacaridae	0	0	0	0	-0.32188758248682	0	0.594403149387335	-1.01503476304677	0	0.371259598073125	0	0	0	0.371259598073125	0
Metazoa	Tetranychidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Adeonidae	-0.797915290463674	0	0	0	0	0	-0.797915290463674	-0.104768109903729	0	0	0.300696998204436	0	0.811522621970426	0.588379070656216	0
Metazoa	Celleporidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549306144334055	-0.549306144334055
Metazoa	Electridae	0	0	0	0	0	1.02794246727428	-1.05149907440556	-0.358351893845611	0	0	0	0	0	0.740260394822499	-0.358351893845611
Metazoa	Flustridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Membraniporidae	-0.138629436111989	0	0	0	0	0	0	-0.138629436111989	0	0	0	-0.138629436111989	-0.138629436111989	0	0.554517744447956
Metazoa	Schizoporellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Alcyonidiidae	0.459866718303243	-0.883868028397851	0	-1.06618958519181	-0.883868028397851	-1.98248031706596	1.88872069384193	0.0324227034763038	-1.06618958519181	1.29466441592622	2.12839354710735	-2.67562749762591	1.62843759557826	1.49875977226973	-0.37304240463186
Metazoa	Flustrellidridae	0.357702000168039	0.0700199277162579	0	-1.43405746906002	-0.517766737185861	0	1.51038151010642	-0.0477631079401259	-2.12720464961996	1.3991558749962	1.61046496866341	-0.740910288500071	0.437744707841575	-0.517766737185861	0
Metazoa	Vesiculariidae	0	-0.0958940241505934	0	0	0	0	0	-0.0958940241505934	0	0	0	0	0	0.191788048301187	0
Metazoa	Tubuliporidae	0	-0.80471895621705	0	0	0	0	-0.80471895621705	0	0	0	0.80471895621705	0	0	0.80471895621705	0
Metazoa	Lophopodidae	0	0	0	0	0	0	-0.591502212146759	-0.591502212146759	0	0.661260756348609	1.11324588009167	0	0	-0.591502212146759	0
Metazoa	Plumatellidae	0	0	0	0	0	0	0	0	-0.346573590279973	0.346573590279973	0	0	0	0	0
Metazoa	Accipitridae	0	0	-1.0060941460813	0	0	-2.39238850720119	0	0	0.38020021503859	0	0	2.33499931151115	0	-1.29377621853308	1.97705934526583
Metazoa	Acipenseridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Branchiostomidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Anabantidae	0	0	0	0	0	0	-0.794513457586986	0	0	0	-0.101366277027041	0.304098831081123	0	0.591780903532904	0
Metazoa	Anguillidae	0	0	0	0	0	0	0	0	0	0	0.924196240746594	-0.462098120373297	-0.462098120373297	0	0
Metazoa	Apterygidae	0	0	0	0	0	-0.597253156409352	0	0	0	0	0	0.0958940241505937	0	0	0.501359132258758
Metazoa	Bovidae	0	0	0	0	-0.330715373284658	0	0	-1.0238625538446	0.0747497348235069	0	0	0.0747497348235069	-0.330715373284658	0.362431807275288	1.17336202349162
