superkingdom	kingdom	phylum	class	order	family	genus	species	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
Bacteria	NA	Proteobacteria	Syntrophobacterales	Deltaproteobacteria	Syntrophobacteraceae	Desulfoglaeba	Desulfoglaeba alkanexedens	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Fastidiosibacteraceae	Caedibacter	Caedibacter taeniospiralis	0	0	0	0	0	0	0	11	0	0	0	0	0	2	1
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Allofrancisella	Allofrancisella guangzhouensis	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Intrasporangiaceae	Serinicoccus	Serinicoccus sp. W204	0	0	0	0	0	0	8	0	0	2	4	1	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella adeliensis	17	7	9	28	25	4	17	44	15	70	74	18	10	14	12
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella frigiditurris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella halioticida	4	4	18	14	20	7	60	19	2	26	22	7	10	11	4
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella hispaniensis	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella marina	0	0	1	0	0	0	7	0	0	4	0	0	0	0	2
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella noatunensis	1	3	2	0	0	0	6	0	0	0	4	0	1	1	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella philomiragia	3	3	0	16	12	5	3	12	0	10	4	4	2	3	6
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella salina	0	0	0	0	2	0	5	0	0	1	0	1	0	0	1
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Intrasporangiaceae	Serinicoccus	NA	0	0	0	0	0	0	14	4	5	11	64	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella tularensis	0	0	1	0	4	1	7	0	2	2	0	0	3	0	4
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	Francisella uliginis	0	0	0	7	0	0	0	4	4	8	2	4	4	1	1
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	Francisella	NA	45	39	44	78	31	37	126	54	35	98	38	30	54	38	34
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Francisellaceae	NA	NA	1	1	2	1	11	1	16	8	2	4	9	0	8	7	6
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus sp. P1	1	4	3	11	13	8	58	80	47	60	102	24	13	4	7
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus sp. PY97N	1	10	6	14	27	6	67	60	48	67	47	34	5	14	4
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus zancles	0	0	0	0	0	1	0	5	5	0	12	0	3	2	1
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Cycloclasticus	NA	6	9	1	2	4	5	35	39	33	32	51	21	6	2	6
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio crunogenus	2	0	2	0	0	1	0	0	0	0	0	0	0	0	5
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Methylophaga	Methylophaga frappieri	3	3	1	8	7	5	30	12	6	15	13	30	1	6	3
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Intrasporangiaceae	Terrabacter	Terrabacter sp. DBF63	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
