	sample:OP0.2A	sample:OP0.2B	sample:OP0.2C	sample:OP1.2A	sample:OP1.2B	sample:OP1.2C	sample:OP5.0A	sample:OP5.0B	sample:OP5.0C	sample:OP8.0A	sample:OP8.0B	sample:OP8.0C	sample:EN0.2A	sample:EN0.2B	sample:EN0.2C	count	superkingdom_name	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	id
66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	uncultured marine group II/III euryarchaeote SAT1000_41_C12	tax66
67	48	48	44	19	17	24	7	2	4	17	12	1	76	56	70	445	Archaea	NA	Euryarchaeota	NA	NA	NA	NA	NA	tax67
68	5838	6475	5704	1787	2061	1833	157	221	340	277	192	349	9245	5709	8696	48884	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Candidatus Nitrosomarinus	Candidatus Nitrosomarinus catalina	tax68
69	22	21	8	19	13	5	1	5	4	1	7	5	21	9	14	155	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus koreensis	tax69
70	616	555	208	550	315	99	178	171	94	238	138	164	764	342	337	4769	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sediminis	tax70
71	26	17	11	15	15	6	1	3	3	11	3	8	28	20	22	189	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sp. SW	tax71
72	100	82	48	61	39	16	27	26	13	32	19	20	147	75	65	770	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus adriaticus	tax72
73	12	18	9	9	8	11	3	3	1	6	10	4	30	32	18	174	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus maritimus	tax73
74	27	18	10	18	11	3	2	1	2	4	10	4	15	17	19	161	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus piranensis	tax74
75	212	200	103	216	122	53	75	82	37	89	78	77	320	161	140	1965	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	Nitrosopumilus	NA	tax75
76	506	516	395	180	182	163	29	26	29	40	30	64	755	490	670	4075	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	Nitrosopumilaceae	NA	NA	tax76
77	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 15G10	tax77
78	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 4B7	tax78
79	86	100	105	21	25	29	2	3	7	5	5	8	129	78	138	741	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured crenarchaeote 74A4	tax79
80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured marine crenarchaeote HF4000_APKG6D3	tax80
81	3	2	2	1	3	0	1	2	0	0	0	0	1	7	5	27	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	uncultured marine crenarchaeote HF4000_APKG6D9	tax81
82	61	43	44	12	26	20	7	9	3	11	1	2	72	47	63	421	Archaea	NA	Thaumarchaeota	Nitrosopumilales	NA	NA	NA	NA	tax82
83	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	Archaea	NA	Thaumarchaeota	Nitrososphaerales	Nitrososphaeria	Nitrososphaeraceae	Candidatus Nitrosocosmicus	Candidatus Nitrosocosmicus oleophilus	tax83
84	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	Nitrososphaerales	Nitrososphaeria	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera evergladensis	tax84
85	8	6	10	3	5	1	0	0	0	3	0	1	11	11	9	68	Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus brevis	tax85
86	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis aquarius	tax86
87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	Archaea	NA	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis cloacae	tax87
88	0	2	2	0	0	0	0	1	0	1	0	0	2	0	3	11	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote	tax88
89	25	28	22	6	8	3	2	0	1	1	0	0	48	22	32	198	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_06_F06	tax89
90	37	35	40	8	16	5	0	0	3	1	2	4	54	33	47	285	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_07_E11	tax90
91	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_26_G12	tax91
