superkingdom	kingdom	phylum	order	class	family	genus	species	06-mergeLCA//A0_2	06-mergeLCA//B0_2	06-mergeLCA//C0_2	06-mergeLCA//A1_2	06-mergeLCA//B1_2	06-mergeLCA//C1_2	06-mergeLCA//A5_0	06-mergeLCA//B5_0	06-mergeLCA//C5_0	06-mergeLCA//A8_0	06-mergeLCA//B8_0	06-mergeLCA//C8_0	06-mergeLCA//GP_1	06-mergeLCA//GP_2	06-mergeLCA//GP_3
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_12_C10	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_12_F11	17	8	5	6	5	4	0	1	2	3	0	0	6	13	16
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_13_C11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_16_C10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_17_C07	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_201_H03	42	63	49	23	29	19	2	1	9	2	3	3	78	45	74
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_24_H11	54	66	47	10	21	17	0	1	0	5	2	3	72	61	94
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_25_G08	73	76	74	18	22	26	2	2	3	3	2	7	93	71	91
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_31_G08	1	1	5	1	4	0	0	0	0	0	0	1	1	2	1
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_37_D10	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_41_H02	1	3	4	1	0	0	0	0	0	0	0	0	2	1	1
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_42_E08	74	83	79	24	30	26	2	6	3	3	5	4	112	78	112
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_46_G10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_49_A08	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_51_A05	76	90	80	25	34	24	5	4	4	7	1	6	136	51	133
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_53_F06	3	1	0	5	0	1	0	2	1	0	3	1	3	1	2
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_56_F06	25	15	3	28	9	2	11	8	6	9	4	5	32	10	8
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_70_D10	26	23	15	3	10	1	3	0	3	1	0	3	36	16	31
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_72_F07	1	0	3	0	0	0	0	0	0	0	0	0	1	4	1
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_73_B11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_78_D03	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_79_B12	94	73	71	23	24	30	3	3	6	1	0	10	121	69	124
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_84_A09	34	59	54	24	12	11	0	1	4	1	1	2	71	48	72
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G06	178	200	201	52	65	51	4	7	11	15	10	13	273	204	290
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G09	240	223	240	80	84	69	4	8	15	9	7	9	320	209	332
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_27_H05	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured thaumarchaeote	6	3	3	5	2	3	0	0	0	0	0	0	14	3	14
Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	NA	2888	2947	2752	840	1035	873	127	120	168	173	104	186	4374	2834	4102
Archaea	NA	NA	NA	NA	NA	NA	anaerobic archaeon MK-D1	0	0	0	1	0	0	2	0	2	0	0	2	0	0	0
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon	3	4	2	7	4	2	3	2	3	3	1	1	5	4	3
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S02-C115	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C140	1	3	3	3	0	2	0	0	0	0	0	0	4	3	3
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C163	1	0	0	1	0	0	0	0	0	1	0	0	1	0	3
