taxids	mrca
1483300;1483302;1483303;1483319	2671791
1484225;1484231;1484236	2631580
1484258;1484269;1484271;1484273	2631580
1491;1509	1485
1491515;1491563	2645964
1492313;1492314	2637210
1494611;1494612;1494620	NA
1494624;1494636	2630699
1494625;1494626	2630699
1494627;1494636	2630699
1494642;1494643	2630699
1498144;1498145	2613769
1500789;1507454	323723
1502;451756	1502
1513202;1513209	1513202
1514169;1514170;1514171;1514172	1366303
1514169;1514170;1514172	1366303
1520832;1520833;1520834;1520835	2621516
1521401;1521402;1521403;1521405;1521406;1521407;1521408;1521409;1521410;1521411;1521412;1521413;1521414;1521415;1521416;1521417;1521418;1521419;1521420;1521422;1521423;1521424;1521425;1521426	1892263
1521768;1521769;1521770;1521771	2631580
152509;344338	2
152704;1074198	33634
1530050;1530062	196816
1530608;1530610	2619630
153406;243330	243881
1534559;1534560;1534563;1534566;1534567;1534778;1534779;1534780;1534781;1534782;1534783;1534784;1534785;1534786;1534787;1534788;1534789;1534790;1534791;1534792;1534793;1534794;1534795;1534796	13786
153809;167065	1224
153809;285980	1224
154535;1672086;1672088;1672090;1672091;1672092;1672093;1672121;1672129;1672130;1672131;1672142;1672144;1672191;1672195;1672209;1672210;1672211;1672216;1672217	1129
154535;1672087;1672099;1672100;1672104;1672158	1129
154557;1075217	311979
1547939;1547941	140320
1549928;1549929;1549930;1549931;1549932	2631580
1552834;1552838;1552842	71469
155744;155746;155749	2621467
155745;155747	2621467
156097;156098;156099;156100;156110;284963	2040470
156102;156103;156104	2034146
156122;284971	2064757
156181;284787;284792	2608131
1562704;1562740	768
156424;665084;665085	914
1565378;1565384	2688384
1565435;1565438	1236
156616;156788;156817	156614
156740;156745	156614
157278;1117990	407
1573423;1573424	68764
1579833;1579839;1630623	2
1580;220674	33958
1580873;1580875;1580877	51727
1580873;1580877	51727
1580878;1580880	2060747
1582;219334	1582
1583382;1583399;1583424;1583426;1583427;1583435;1584139;1584140;1584555;1584556	2614977
1583383;1583605;1584959;1584970	2614977
1583392;1583453;1583465;1583543;1583550;1583557;1583592;1583596;1583623;1583653;1583665;1583672;1583673;1583711;1584019;1584259;1584557;1584579;1584584;1584605;1584613;1584616;1584629;1584637;1584655;1584656;1584663;1584665;1584673;1584704;1584732;1584744;1584763;1584774;1584793;1584795;1584798;1584805;1584806;1584849;1584937;1584956;1584993;1585020;1585032;1585036;1585055;1585077;1585102;1585114;1585116;1585140;1585147;1585149;1585151;1585153	2614977
1583451;1583622;1583641;1583744;1583767	2614977
1583551;1583554;1584327;1584367;1584403;1584496;1584549	2614977
1583635;1584067	2614977
1583662;1583663	2614977
1583693;1583796;1584815;1584856	2614977
1583766;1584944;1584969	2614977
1583789;1583806	2614977
1583838;1583839	2614977
1583880;1583892;1584045;1584059;1585162	2614977
1584;29397	1584
1584389;1584754	2614977
1584668;1584740	2614977
158492;244021	703534
1584963;1584964;1584973;1584974;1585122	2614977
158878;158879;359786;359787;418127;450394;505321;543540;553565;553568;553571;553573;553574;553577;553580;553581;553588;553592;553596;553601;585891;680649;681288;703339;889933;904723;904731;904739;904750;904775;904780;904783;904792;931432;931434;931439;931440;931444;931446;931455;931458;1074919;1116214;1116215;1116216;1116217;1116218;1116219;1116220;1116221;1116222;1116223;1116224;1116225;1134842;1137129;1157004;1157005;1157006;1157007;1157008;1157009;1157010;1157011;1157012;1157013;1157014;1157015;1157017;1157019;1157020;1157021;1157022;1157023;1157025;1157026;1157029;1157030;1157031;1157033;1157034;1157035;1157036;1157037;1157038;1157039;1158461;1158462;1158463;1158464;1158466;1158467;1158468;1158469;1158470;1158471;1158472;1158473;1158474;1158475;1158476;1158478;1158479;1158480;1158481;1158482;1158483;1158484;1158486;1158487;1158488;1158489;1158490;1158491;1158492;1158493;1158494;1158496;1158497;1158498;1158499;1158500;1158501;1158502;1158503;1158504;1158505;1158506;1158507;1158509;1158510;1158511;1158512;1158513;1158514;1158515;1158516;1158517;1158518;1158520;1158521;1158522;1158523;1158524;1158525;1158526;1158527;1158528;1158531;1158533;1158535;1158536;1158537;1158538;1158682;1158685;1158686;1158687;1158688;1158689;1158690;1158691;1158692;1158693;1158694;1158695;1158696;1158697;1158698;1158699;1158700;1158701;1158702;1158703;1158704;1158705;1158706;1158708;1158709;1158710;1158711;1158712;1161392;1169256;1169257;1169258;1169260;1169261;1169262;1169263;1169264;1169265;1169266;1169267;1169269;1169270;1169272;1169273;1169274;1169275;1169276;1169277;1213721;1213722;1213723;1213724;1213725;1213726;1213727;1213729;1213732;1213733;1213734;1214901;1216363;1224919;1224920;1224921;1224922;1224923;1224924;1224925;1224926;1224927;1224929;1224930;1224931;1224932;1224933;1235277;1258575;1303780;1303781;1303782;1303783;1303784;1303786;1303787;1331008;1334631	1280
158878;418127	1280
1591126;1591127	2643310
1591128;1591129	2643310
1591140;1591147	2643310
1592349;1592351;1592352;1592353;1592368	1783272
1596190;1596210;1596211	163160
1596737;1596740	265461
1605903;1605906	2613784
1606162;1606170	2631580
1606318;1606322	2631580
1607959;1607960	1607958
1607961;1607962;1607963;1607964;1607965	1607958
1607961;1607963;1607964	1607958
160839;208882	56741
1608573;1608574	2641215
161124;161126;161128	161121
1612603;1612606	2632611
1612612;1612617	2643050
161662;1075293	237584
1616856;1616857	2650499
1616865;1616880	1890424
1616877;1616878	2609805
162156;165157	816
162156;180828;188903	2
163165;163170;163668	2
163273;368071;1089494;1548993;1548994;1548995;1549034;1549040;1549045;1549058;1549080	2631580
1633754;1633768	1633772
1633756;1633757	1633772
163516;1514140	2836
1637330;1637331;1637332;1637333	2649764
1639;1642	1637
163993;164007;1123844	36713
1642461;1642462	136190
1642537;1642538	1642536
165187;188883	1678
1653210;1653211	96574
1653217;1653222;1653228;1653243;1653244;1653250;1653252	119067
1653220;1653229;1653236;1653241;1653247;1653255;1653256;1653258;1653261;1653267;1653270	119067
1653221;1653239;1653249;1653266;1653271;1653272	119067
1653281;1653282	33811
165436;212695	117743
166321;166322	2626047
166322;1050711	2626047
1672123;1672127	2626047
1672161;1672162	2626047
167237;1920687;1926850;1926851	33103
167554;167556	1219
1676755;1676757	9
167729;232202	3257
1681;1692	1678
168169;356821	409304
1682037;1682038	3132
1683049;1683050	83889
1683093;1756169	2683265
1685;326426	1685
1686;566552	1686
169940;991109;991110;991111	169939
1702536;1702538;1702539;1702540;1702541;1702542;1702543;1702544;1702545;1702547;1702548;1702549	2623549
1702574;1702578;1702579	2623549
